repo_id,n_modules,total_edges,cf_edges,has_cf,sec_reached,stars,forks,size_kb
55137519,3,0,0,0,0,3,1,13
55173512,1,0,0,0,0,3,1,16
55243124,1,0,0,0,0,47,42,22
55304406,1,0,0,0,0,4,2,14
55492678,1,0,0,0,0,0,0,48
55579618,1,8,0,0,0,2,1,59
55696075,1,0,0,0,0,7,4,20
55796635,1,0,0,0,0,0,4,49
55870096,6,5,5,1,1,0,2,155
55977248,1,0,0,0,0,0,0,40
55969314,3,0,0,0,0,0,0,9
55941465,1,0,0,0,0,4,1,1003
56200730,1,0,0,0,0,0,0,8
56093081,1,0,0,0,0,0,2,2
56096104,1,0,0,0,0,5,0,2
56250862,1,0,0,0,0,0,0,249
56425879,1,0,0,0,0,0,0,9
56287792,1,0,0,0,0,46,11,60
56606222,1,0,0,0,0,10,3,50
56541073,6,5,5,1,1,109,170,187
56666900,3,0,0,0,0,57,27,24
56809104,1,0,0,0,0,0,0,51
56692847,1,1,0,0,0,26,23,9
56891590,1,0,0,0,0,0,0,28
56902194,1,0,0,0,0,2,1,12
56882380,3,0,0,0,0,6,2,17
56902505,1,0,0,0,0,1,1,7
57131207,1,0,0,0,0,0,0,15
56918770,1,0,0,0,0,24,15,14
56952793,1,0,0,0,0,0,0,73
57271706,1,0,0,0,0,1,0,5
57234654,1,7,0,0,0,0,1,16
57909518,1,0,0,0,0,2,2,18
58195849,1,0,0,0,0,5,8,14
57911664,1,0,0,0,0,37,19,20
57980877,35,45,45,1,0,126,41,23115
58275348,1,0,0,0,0,1,2,2
58459042,1,0,0,0,0,1,1,5
58485515,1,0,0,0,0,0,0,8
58500871,26,6,6,1,1,0,2,23
58911232,5,4,0,0,0,0,1,5
59069607,1,1,1,1,0,0,3,21
59261719,3,2,2,1,1,2,0,8
59535125,3,0,0,0,0,0,0,114
59764784,3,2,0,0,0,1,2,78
59788683,1,1,1,1,0,0,2,15
59814322,11,7,7,1,1,3,13,1289
59925192,1,0,0,0,0,3,2,8
60013507,1,0,0,0,0,3,0,18
60094096,7,6,2,1,1,6,6,106
60395879,1,0,0,0,0,0,0,21
60421884,1,0,0,0,0,0,1,49
60482539,3,10,10,1,1,1,3,29
60623832,1,0,0,0,0,2,0,8
60642382,4,0,0,0,0,232,138,58
60757721,1,0,0,0,0,2,0,9
60810543,20,4,4,1,0,0,0,35
60816596,16,16,16,1,1,0,0,37
60840044,4,5,5,1,1,0,0,22
60845479,2,1,0,0,0,0,0,29
60844548,20,2,2,1,0,0,0,238
60966267,1,0,0,0,0,0,0,14
60966450,1,0,0,0,0,0,2,24
61207081,1,0,0,0,0,0,0,6
60967428,1,0,0,0,0,0,0,21
61223609,19,15,14,1,1,2104,421,348
61330225,1,0,0,0,0,8,2,11
61625704,1,0,0,0,0,0,0,20
61594107,2,1,0,0,0,22,17,10
61633655,1,0,0,0,0,0,0,8
61674312,1,0,0,0,0,2,3,51
61706984,5,2,2,1,0,0,0,9
61765563,12,3,3,1,1,0,0,47
61876665,1,0,0,0,0,1,0,45
61893215,3,4,4,1,0,119,59,171
62158337,7,6,0,0,0,9,9,16
62047066,11,1,1,1,0,1,6,811
62201331,2,3,3,1,0,0,0,10
62233842,6,3,3,1,1,0,0,25
62304816,1,0,0,0,0,18,13,12
62336541,11,11,10,1,1,4,0,69
62517267,2,0,0,0,0,0,0,9
62577444,1,0,0,0,0,0,0,4
62641372,2,0,0,0,0,0,0,11
62661143,1,24,24,1,0,27,28,1414
62731096,1,0,0,0,0,0,0,12
62929359,5,3,3,1,1,0,0,18
63226987,1,0,0,0,0,0,0,5
62915509,4,2,2,1,0,0,1,316
63236095,6,4,4,1,0,4,3,10
63242051,4,0,0,0,0,0,0,586
63308848,1,0,0,0,0,0,1,213
63368920,3,4,0,0,0,0,2,3
63385361,1,0,0,0,0,0,0,16
63376362,4,3,3,1,1,1,1,15
63407875,1,0,0,0,0,0,0,6
63533580,2,0,0,0,0,1,0,11
63454488,1,0,0,0,0,10,3,65
63628567,10,0,0,0,0,1,2,37
63699041,1,0,0,0,0,0,0,3
63771354,9,8,8,1,1,12,2,1144
63793165,1,0,0,0,0,1,0,8
63862394,1,0,0,0,0,3,10,22
64322065,1,0,0,0,0,4,0,5
64338755,3,3,3,1,1,0,0,11
63987699,10,18,18,1,1,2,0,4279
64372590,5,0,0,0,0,0,0,26
64443143,1,0,0,0,0,0,0,6
62264720,1,0,0,0,0,0,0,33668
64623096,2,0,0,0,0,3,0,159
64681933,2,1,0,0,0,0,0,254
64843276,4,2,2,1,1,0,0,30
65003162,2,0,0,0,0,0,0,19
65047192,6,0,0,0,0,6,7,3887
65162532,1,0,0,0,0,6,2,8
65191431,2,0,0,0,0,0,1,6
65191469,1,0,0,0,0,0,0,2
65191483,2,0,0,0,0,0,0,4
65191508,1,0,0,0,0,0,0,2
65191529,3,0,0,0,0,0,0,4
65191549,1,0,0,0,0,0,0,2
65191567,1,0,0,0,0,1,0,2
65191604,1,0,0,0,0,0,0,2
65191623,1,0,0,0,0,0,0,1
65191637,1,0,0,0,0,0,0,1
65191652,1,0,0,0,0,0,0,1
65286328,1,1,0,0,0,2,3,65
65330805,7,0,0,0,0,0,1,13
65413361,2,1,0,0,0,5,0,2
65457709,1,0,0,0,0,0,0,30
65457888,1,1,0,0,0,0,1,8
65457824,1,2,0,0,0,0,0,19
65464679,1,0,0,0,0,0,0,8
65484261,1,0,0,0,0,0,0,3
65542026,1,0,0,0,0,0,0,6
65609575,2,1,0,0,0,3,2,7
65599902,1,0,0,0,0,0,2,125
65623579,1,0,0,0,0,0,0,33
65705369,1,0,0,0,0,0,0,8
65729156,6,5,5,1,1,0,0,322
65760299,1,0,0,0,0,0,0,6
65945678,1,0,0,0,0,0,0,23
65814111,5,9,7,1,0,0,0,30
65946107,1,0,0,0,0,0,0,5
65949197,1,0,0,0,0,0,0,9
65952925,1,0,0,0,0,0,0,3
65951021,1,0,0,0,0,1,0,26
65969265,1,0,0,0,0,0,1,388
66004375,3,1,0,0,0,0,1,9
66142768,1,0,0,0,0,3,2,4
66058247,1,0,0,0,0,48,6,23
66018722,1,2,0,0,0,0,0,18
66092219,23,36,35,1,1,1,0,294
66151795,1,0,0,0,0,2,0,7
66344744,1,0,0,0,0,0,0,9
66575847,1,0,0,0,0,10,5,22
66472108,15,17,17,1,1,3,8,277
66581953,1,0,0,0,0,6,5,31
